(2611.98,906.24) , (2658.39,902.56)
(1485.10,3172.60) , (1493.15,3165.68)
(1485.10,3172.60) , (1474.49,3172.75)
(2596.00,1102.79) , (2492.11,1110.21)
(2596.00,1102.79) , (2702.45,1095.34)
(2596.00,1102.79) , (2590.72,1029.48)
(2596.00,1102.79) , (2599.22,1139.09)
(1650.96,2396.85) , (1720.11,2611.47)
(1650.96,2396.85) , (1852.99,2330.36)
(1650.96,2396.85) , (1622.62,2314.56)
(1763.50,1148.87) , (1783.21,1174.06)
(1763.50,1148.87) , (1742.06,1156.92)
(1763.50,1148.87) , (1733.31,1107.14)
(1763.50,1148.87) , (1820.48,1110.44)
(2139.94,2545.95) , (2208.48,2551.63)
(2139.94,2545.95) , (2081.77,2531.30)
(1344.77,1806.71) , (1433.54,1749.17)
(1344.77,1806.71) , (1336.01,1812.57)
(1224.60,1650.18) , (1235.95,1674.37)
(1224.60,1650.18) , (1217.83,1595.77)
(2129.22,737.93) , (2130.86,754.72)
(2129.22,737.93) , (2134.00,729.46)
(24.53,1720.71) , (143.72,1685.99)
(24.53,1720.71) , (14.80,1723.46)
(24.53,1720.71) , (2.02,1691.53)
(1777.63,699.37) , (1851.52,634.07)
(1777.63,699.37) , (1739.14,741.84)
(1200.08,3340.55) , (1218.52,3347.55)
(1200.08,3340.55) , (1126.14,3299.54)
(4207.30,1053.55) , (4236.59,1107.85)
(4207.30,1053.55) , (4171.93,1072.77)
(4207.30,1053.55) , (4254.61,1027.80)
(4207.30,1053.55) , (4185.73,1014.08)
(1163.56,286.85) , (1151.18,308.82)
(1163.56,286.85) , (1165.54,300.04)
(1163.56,286.85) , (1163.29,285.02)
(1201.33,84.58) , (1341.75,50.74)
(1201.33,84.58) , (1190.10,84.27)
(1158.43,284.21) , (1135.63,279.43)
(1158.43,284.21) , (1163.07,284.98)
(3137.81,1052.35) , (3129.26,1064.14)
(3137.81,1052.35) , (3157.82,1024.35)
(1419.74,659.49) , (1462.82,722.27)
(1419.74,659.49) , (1404.24,636.53)
(1419.74,659.49) , (1500.52,603.21)
(2624.16,1497.42) , (2631.12,1593.84)
(2624.16,1497.42) , (2520.23,1505.41)
(2624.16,1497.42) , (2622.20,1442.11)
(1557.12,740.97) , (1715.82,744.20)
(1557.12,740.97) , (1472.58,736.49)
